그것: 두 번째 이야기,2,영화처음 2시간: 끝나긴 하는건가?영화 끝나기1시간: 엉망
극장판 헬로카봇 : 달나라를 구해줘!,6,어른으로써 이전 두편의 극장판과 비교하면 최하입니다. 초반내용도 지루하고 마지막 전투씬도 허무하게 끝나서 정말 실망입니다. 제작진들 정말 정말 정말 반성이 필요합니다.
봉오동 전투,10,감동적이였습니다....
유열의 음악앨범,1,신작. 개봉했으면40만도 힘든 관객수 ..ㅡ빈집털어 90만ㄷㄷㄷ
그것: 두 번째 이야기,10,1편 보다 조금 더 스릴있었다. 충분히 재밌게 관람했음.
그것: 두 번째 이야기,10,축하해 벤 ?? 오랜 친구들을 다 소환할 수 있어서 좋았다
레드슈즈,10,꿀잼 한국애니메이션이라니 좋네요
분노의 질주: 홉스&쇼,6,별로엿어요 갈수록 개연성이없엉...
벌새,10,정말 좋은 영화였습니다. 돈이 아깝지 않았습니다.
극장판 헬로카봇 : 달나라를 구해줘!,4,실망 대실망... 억지로 짜집기한 것 같은 느낌. 아이도 저번 옴파로스편이 더 나았다고 하네요.
라라랜드,10,봐도 봐도 질리지가 않네.
47미터 2,10,정말 재밋습니다 긴장감 쩔ㅋㅋ마지막 여주 감동적이기도하고요 꼭보세요~!!
엑시트,10,옥상문 개방하라 화재시에도 그렇고
봉오동 전투,10,믿보배들의 연기 최고였습니다!!!!
극한직업,1,치킨을 찍은게 아니라 평점 작업을 대량으로 잘했네 ㅎㅎㅎ 평점작업의 실체 http://www.cine21.com/news/view/?mag_id=90596
엑시트,10,근래 본 한국영화중 최고다 이건 1000만넘어야지.
유열의 음악앨범,10,정말 재밌게 봤습니다ㅠㅠ처음에 평점이 너무 안좋아서 그냥 킬링타임용으로 보러갔는데 펑펑 울다 나왔네요...이십대 청춘들이 보면 좋을 것 같다는 느낌이 들었고 마지막 엔딩곡 fix you 나올때는 소름돋았습니다ㅠㅠ ..또 보러 가려구요
엑시트,10,너무 재밌어요!!!! 또 보고싶은 영화
47미터 2,8,헤이 캐서린! ㅗㅗㅗㅗ
성난황소,6,"요 근래 마동석 영화들중은 좋은데, 그저 그런 B급 액션 영화인듯 합니다. 마동석 팬들에게는 추천할 만 합니다. 마동석 액션을 잘 보여줘서 볼만 합니다."
커런트 워,8,"우리가 몰랐던 발명왕 에디슨의 명암과 그 주변 이야기.4명의 명배우들이 영화를 살렸다.""4명의 천재, 3번의 격돌, 2개의 전류, 1명의 역사!"""
봉오동 전투,10,말이 필요없을 정도로 멋있고 벅찬 영화! 독립운동가분들 정말 감사합니다.
원더풀 고스트,2,마동석 영화들중 최악. 의리를 챙겨주는건 좋은데... 그래도 영화를 좀 공부해 주셨으면 좋겠습니다.
엑시트,8,재난영화 중에서 가장 재밌었다.
엑시트,6,군중심리 관련 논문을 쓰면 좋을듯 . 9백만? 굉장히 신기함 . 소재도 새롭고 연기 좋은편 연출도 좋고 몰입도 있으나 . 3백만정도 급
47미터 2,10,재밌었음 진짜 발암캐 한명씩 꼭 있는게 하...ㅎ
천년호,2,통일신라 시대 고증도 꽝 스토리도 꽝 연기력도 그닥.. ㅡㅡ
챔피언,4,"팝콘 무비로도 안되지만, 최악은 아닌 그냥 저냥 못만든 영화. 딱 클레멘타인의 상위호환"
세상의 중심에서 사랑을 외치다,10,"러브레타, 지금만나러갑니다에 이어 3대 일본영화 수작"
봉오동 전투,3,열혈대한 중학생이 연출한듯한 영화. 자극과 감정에만 몰입하여 애국심에 기대 흥행을 담보하려는 알량하고 얄팍한 상업영화.
해피 데스데이,9,타임슬립 좋아하는데 공포를 만나니 더 재밌
엑스맨: 다크 피닉스,10,알바아니고요;; 개인적으론 재밋네요
콰이어트 플레이스,8,나도 모르게 숨을 참게 된다. 에밀리 블런트 짱짱존멋
티끌모아 로맨스,10,잔잔하니 괜찮다. 한 8점 정도 하는데 평균이 더 낮아서 10점줌
유열의 음악앨범,4,솔직히...이건뭐.. 개연성도 없고 뭘말하고싶은지도 모르겠고... 그냥 뭐 ... 총체적난국..제목은 왜 저건지 이해도안되고.. 그 뭐야. 건축학개론느낌내려고 하는거같은데 영 별로임진짜.
김복동,10,"제 삶을 많이 돌아보게 된 영상이었습니다. 저 스스로가 많이 부끄러웠고 죄송했습니다. 부끄럽지 않게 살겠습니다, 할머니, 할머님들."
47미터 2,2,이거보느니 집에서 자는게 낫다
그것: 두 번째 이야기,7,영상미가 대단하고 스릴과 유머의 교차가 즐거웠다.환상적 느낌이라 광대공포증 감성에 감정이입이 안되더라도 꽤 재미있음.다만 기승전결 구조가 아닌 ‘들었다놨다’의 미국 카툰식 구조라 후반에는 다소 지루.드라마나 서사는 약하나 감각적 유희는 강한 영화.
